Basin,Carbonate source,Site,Study,Carbon,Oxygen
Laguna Negra,"LN-13-1, this study","Laguna Negra, 3C",Present,8.09,0.29
Laguna Negra,"LN-13-1, this study","Laguna Negra, 3C",Present,7.68,-1.32
Laguna Negra,"LN-13-1, this study","Laguna Negra, 3C",Present,6.45,-1.1
Laguna Negra,"LN-13-1, this study","Laguna Negra, 3C",Present,7.77,-0.74
Laguna Negra,"LN-13-1, this study","Laguna Negra, 3C",Present,5.75,-0.85
Laguna Negra,"LN-13-1, this study","Laguna Negra, 3C",Present,7.96,-2.04
Laguna Negra,"LN-13-1, this study","Laguna Negra, 3C",Present,6.52,-0.86
Laguna Negra,"LN-13-1, this study","Laguna Negra, 3C",Present,8.34,-0.71
Laguna Negra,"LN-13-1, this study","Laguna Negra, 3C",Present,8.17,-0.98
Laguna Negra,"LN-13-1, this study","Laguna Negra, 3C",Present,8.34,-0.71
Laguna Negra,"LN-13-1, this study","Laguna Negra, 3C",Present,9.21,-0.85
Laguna Negra,"LN-13-1, this study","Laguna Negra, 3C",Present,9.15,-1.33
Laguna Negra,"LN-13-1, this study","Laguna Negra, 3C",Present,9.55,0.09
Laguna Negra,"LN-13-1, this study","Laguna Negra, 3C",Present,9.41,-1.5
Laguna Negra,"LN-13-1, this study","Laguna Negra, 3C",Present,9.41,-0.38
Laguna Negra,"LN-13-1, this study","Laguna Negra, 3C",Present,9.8,2.16
Laguna Negra,"LN-13-1, this study","Laguna Negra, 3C",Present,10.17,3.7
Laguna Negra,"LN-13-1, this study","Laguna Negra, 3C",Present,11.35,1.76
Laguna Negra,"LN-13-1, this study","Laguna Negra, 3C",Present,9.37,0.8
Laguna Negra,"LN-13-1, this study","Laguna Negra, 3C",Present,9.76,5.6
Laguna Negra,"LN-13-1, this study","Laguna Negra, 3C",Present,9.8,0.4
Laguna Negra,"LN-13-1, this study","Laguna Negra, 3C",Present,8.93,-0.53
