Sample,d18O,Mg,Sr,Layer,,,
LN-13-1,0.29,7789.00,2371.00,1,,,
LN-13-1,-1.32,7789.00,2371.00,,,,
LN-13-1,0.46,7789.00,2371.00,,,,
LN-13-1,-1.10,2403.00,2121.00,2,,,
LN-13-1,-0.74,3543.00,2425.00,3,,,
LN-13-1,-0.85,2182.00,2182.00,4,,,
LN-13-1,-2.04,3982.00,2485.00,5,,,
LN-13-1,-0.86,2292.00,2189.00,6,,,
LN-13-1,-0.71,12052.00,2680.00,7,,,
LN-13-1,-0.98,12052.00,2680.00,,,,
LN-13-1,5.22,12052.00,2680.00,,,,
LN-13-1,-0.85,3922.00,2557.00,8,,,
LN-13-1,-1.33,8763.00,2572.00,9,,,
LN-13-1,0.09,8011.00,2496.00,10,,,
LN-13-1,-1.50,8011.00,2496.00,,,,
LN-13-1,-0.38,4945.00,2950.00,11,,,
LN-13-1,2.16,9567.00,2611.00,12,,,
LN-13-1,3.70,9567.00,2611.00,,,,
LN-13-1,1.76,7268.00,2851.00,13,,,
LN-13-1,0.80,8551.00,2436.00,14,,,
LN-13-1,5.60,8551.00,2436.00,,,,
LN-13-1,0.40,4996.00,2624.00,15,,,
LN-13-1,-0.53,8984.00,2368.00,16,,,
LN-13-1,-0.33,4592.00,2592.00,17,,,
LN-13-1,1.16,4592.00,2592.00,,,,
LN-13-1,0.23,3997.00,2253.00,18,,,
LN-13-1,0.35,2946.00,2238.00,19,,,
LN-13-1,0.49,3565.00,2283.00,20,,,
LN-13-1,0.94,5345.00,2642.00,21,,,
LN-13-1,0.73,3820.00,2313.00,22,,,
LN-13-1,2.21,3820.00,2313.00,,,,
LN-13-1,1.60,8126.00,2371.00,23,,,
LN-13-1,1.56,3298.00,2221.00,24,,,
LN-13-1,0.98,5105.00,2173.00,25,,,
LN-13-1,1.43,8599.00,1751.00,26,,,
LN-13-1,1.33,8156.00,1993.00,27,,,
LN-13-1,1.40,8671.00,2276.00,28,,,
LN-13-1,2.51,5448.00,3796.00,29,,,
LN-13-1,2.99,5448.00,3796.00,,,,
LN-13-1,1.15,5448.00,3796.00,30,,,
LN-13-1,1.69,3874.00,2357.00,31,,,
LN-13-1,2.08,5632.00,2344.00,32,,,
LN-13-1,1.34,3781.00,2401.00,33,,,
LN-13-1,1.45,11525.00,2507.00,34,,,
LN-13-1,1.07,4276.00,2633.00,35,,,
LN-13-1,0.82,4289.00,3002.00,36,,,
LN-13-1,1.34,7121.00,4192.00,37,,,
LN-13-1,2.36,8021.00,3556.00,,,,
LN-13-1,2.10,8021.00,3556.00,,,,
LN-13-1,0.51,8021.00,3556.00,38,,,
LN-13-1,0.99,4447.00,3220.00,39,,,
LN-13-1,1.50,10199.00,2860.00,40,,,
LN-13-1,1.78,6318.00,4387.00,41,,,
LN-13-1,3.58,9176.00,2731.00,,,,
LN-13-1,2.10,9176.00,2731.00,42,,,
LN-13-1,1.34,6317.00,3448.00,43,,,
LN-13-1,1.57,8608.00,3785.00,44,,,
LN-13-1,2.09,12734.00,5670.00,45,,,
LN-13-1,2.39,5581.00,7285.00,46,,,
LN-13-5,-0.17,7301.00,2218.00,1,,,
LN-13-5,-0.42,1963.00,2102.00,2,,,
LN-13-5,-0.25,2525.00,2292.00,3,,,
LN-13-5,-0.17,8174.00,2448.00,4,,,
LN-13-5,-1.62,8174.00,2448.00,,,,
LN-13-5,-0.27,3248.00,2313.00,5,,,
LN-13-5,2.40,3248.00,2313.00,,,,
LN-13-5,-0.45,3878.00,2299.00,6,,,
LN-13-5,-0.18,9438.00,2303.00,7,,,
LN-13-5,0.46,3699.00,2360.00,8,,,
LN-13-5,0.20,8702.00,2426.00,9,,,
LN-13-5,0.18,7785.00,2477.00,10,,,
LN-13-5,2.07,7785.00,2477.00,11,,,
LN-13-5,0.85,7639.00,2239.00,,,,
LN-13-5,1.32,6753.00,2168.00,12,,,
LN-13-5,-0.16,6753.00,2168.00,13,,,
LN-13-5,0.90,7652.00,2085.00,,,,
LN-13-5,0.30,7729.00,2272.00,14,,,
LN-13-5,0.77,7349.00,2159.00,15,,,
LN-13-5,0.84,8734.00,2248.00,16,,,
LN-13-5,0.51,3104.00,2314.00,17,,,
LN-13-5,0.96,3417.00,1796.00,18,,,
LN-13-5,0.20,3145.00,2060.00,19,,,
LN-13-5,0.76,3179.00,2316.00,20,,,
LN-13-5,0.30,8089.00,2180.00,21,,,
LN-13-5,0.82,7953.00,2046.00,22,,,
LN-13-5,0.76,8012.00,1927.00,23,,,
LN-13-5,1.34,7391.00,2103.00,24,,,
LN-13-5,2.69,7975.00,2350.00,25,,,
LN-13-5,2.74,7975.00,2350.00,26,,,
LN-13-5,0.75,7975.00,2350.00,27,,,
LN-13-5,1.48,7706.00,2222.00,,,,
LN-13-5,1.20,6718.00,1973.00,28,,,
LN-13-5,1.80,6496.00,2881.00,29,,,
LN-13-5,1.27,9635.00,2288.00,30,,,
LN-13-5,0.72,8580.00,2315.00,31,,,
LN-13-5,1.35,10266.00,2319.00,32,,,
LN-13-5,2.98,10266.00,2319.00,33,,,
LN-13-5,3.49,5262.00,3015.00,,,,
LN-13-5,1.50,5262.00,3015.00,34,,,
LN-13-5,2.85,5262.00,3015.00,,,,
LN-13-10,-0.07,7616.00,2237.00,1,,,
LN-13-10,2.09,8193.00,1757.00,2,,,
LN-13-10,2.63,9196.00,1729.00,3,,,
LN-13-10,1.85,7958.00,2128.00,4,,,
LN-13-10,0.58,11134.00,2103.00,5,,,
LN-13-10,0.99,10415.00,2113.00,6,,,
LN-13-10,1.08,4878.00,2419.00,7,,,
LN-13-10,1.19,8810.00,2269.00,8,,,
LN-13-10,0.36,9375.00,2153.00,9,,,
LN-13-10,0.45,11366.00,2284.00,10,,,
LN-13-10,0.53,4620.00,2501.00,11,,,
LN-13-10,-0.10,10516.00,2322.00,12,,,
LN-13-10,1.14,9655.00,2351.00,13,,,
LN-13-10,1.59,9655.00,2351.00,,,,
LN-13-10,-0.03,8103.00,2458.00,14,,,
LN-13-10,2.30,8103.00,2458.00,,,,
LN-13-10,1.24,9944.00,2474.00,15,,,
LN-13-10,0.86,3250.00,2764.00,16,,,
LN-13-10,0.50,6731.00,2695.00,17,,,
LN-13-10,-0.16,9271.00,2494.00,18,,,
LN-13-10,0.19,8986.00,2489.00,19,,,
LN-13-10,0.29,8294.00,2214.00,20,,,
LN-13-10,0.27,3361.00,2304.00,21,,,
LN-13-10,1.69,9443.00,1922.00,22,,,
LN-13-10,1.79,11045.00,2209.00,23,,,
LN-13-10,1.86,11045.00,2209.00,,,,
LN-13-10,2.17,7673.00,2379.00,24,,,
LN-13-10,0.66,3303.00,2021.00,25,,,
LN-13-10,0.87,10737.00,2069.00,26,,,
LN-13-10,0.95,2996.00,2176.00,27,,,
LN-13-10,1.04,9394.00,2041.00,28,,,
LN-13-10,1.22,6239.00,2918.00,29,,,
LN-13-10,1.43,10394.00,2255.00,30,,,
LN-13-10,1.53,9667.00,2440.00,31,,,
LN-13-13,-0.39,6855,2402,1,,,
LN-13-13,-0.9,7461,2248,2,,,
LN-13-13,-0.74,6883,2267,3,,,
LN-13-13,-1.31,10642,2385,4,,,
LN-13-13,-0.65,9877,2499,5,,,
LN-13-13,-0.09,11823,2195,6,,,
LN-13-13,0.5,10878,2370,7,,,
LN-13-13,0.83,11217,2357,8,,,
LN-13-13,-0.88,8373,2170,9,,,
LN-13-13,-0.71,9874,2146,10,,,
LN-13-13,0.35,9045,2305,11,,,
LN-13-13,1.02,8059,2028,12,,,
