Sample,d13C,C/N
LN-13-1,-23.2,8.32
LN-13-1,-21.4,8.513513514
LN-13-1,-26.5,10.34210526
LN-13-1,-25.7,13
LN-13-1,-20.1,6.114754098
LN-13-1,-22.0,8.708333333
LN-13-1,-16.1,8.807017544
LN-13-5,-17.29,9.459459459
LN-13-5,-18.47,7.551724138
LN-13-5,-19.71,6.5
LN-13-5,-18.87,7.883333333
LN-13-5,-21.76,13.9
LN-13-5,-20.16,8
LN-13-10,-21.64,10.14634146
LN-13-10,-26.93,11.29268293
LN-13-10,-21.29,6.913043478
LN-13-13,-25.41,16.29411765
LN-13-13,-24.28,20
LN-13-13,-20.48,9
LN-13-13,-24.72,22.5
LN-13-13,-19.77,7.790697674
LN-13-13,-20.63,9.060606061
LN-13-20,-26.89,32.65517241
LN-13-20,-23.3,13.99029126
LN-13-20,-21.39,7.8125
LN-13-20,-20.61,13.3030303
LN-13-20,-19.52,10.7254902
LN-13-28,-26.6,28.88235294
LN-13-28,-25.88,56
LN-13-28,-25.59,25.21428571
